vicious walk 1D
dimesion ; levy exponent ; simulations ;Timesteps ; inidistance ;survive rate ; Std;Std over mean;


1;2;2000;2000;2;0.027;0.00620484;0.229809;
1;2;2000;2000;4;0.08;0.00612372;0.0765466;
1;2;2000;2000;8;0.106;0.0153786;0.145081;
1;2;2000;2000;16;0.1635;0.0231625;0.141666;
1;2;2000;2000;16;0.194;0.0316465;0.163126;
1;2;2000;2000;24;0.21;0.0150831;0.0718243;
1;2;2000;2000;32;0.2675;0.0140535;0.0525363;
1;0.5;2000;200;40;0.952;0.00979796;0.010292;
1;0.5;2000;200;40;0.961;0.00845577;0.00879893;
1;0.5;2000;400;40;0.9565;0.00874643;0.0091442;
1;1;2000;200;40;0.689;0.016171;0.0234702;
1;1;2000;400;40;0.637;0.0108858;0.0170891

new try
;
1;1;2000;800;40;0.6165;0.0299416;0.0485671;
1;2;2000;200;40;0.779;0.0123085;0.0158004;
1;2;2000;400;40;0.624;0.0214826;0.0344272;
1;2;2000;800;40;0.4665;0.0210119;0.0450416;
1;1;2000;200;40;0.7;0.021272;0.0303886;
1;1;2000;400;40;0.6715;0.0107935;0.0160737;
1;1;2000;800;40;0.617;0.0287837;0.046651;
1;1;2000;1600;40;0.587;0.0310403;0.0528796;
1;1;2000;3200;40;0.5805;0.0215291;0.0370871;
1;1.25;2000;200;40;0.5945;0.0107703;0.0181166;
1;1.25;2000;400;40;0.532;0.0135462;0.0254628;
1;1.25;2000;800;40;0.4675;0.0123491;0.0264152;
1;1.25;2000;1600;40;0.4085;0.0185472;0.0454033;
1;1.25;2000;3200;40;0.381;0.0269537;0.0707445;
1;1.5;2000;200;40;0.6125;0.0238747;0.0389791;
1;1.5;2000;400;40;0.514;0.0287054;0.0558471;
1;1.5;2000;800;40;0.3945;0.0170587;0.0432414;
1;1.5;2000;1600;40;0.328;0.0106536;0.0324806;
1;1.5;2000;3200;40;0.272;0.0178466;0.0656124;
1;1.75;2000;200;40;0.7035;0.0164773;0.0234218;
1;1.75;2000;400;40;0.5505;0.0195832;0.0355734;
1;1.75;2000;800;40;0.428;0.0106536;0.0248917;
1;1.75;2000;1600;40;0.3165;0.00644205;0.020354;
1;1.75;2000;3200;40;0.225;0.0293684;0.130526;
1;2;2000;200;40;0.804;0.0166283;0.020682;
1;2;2000;400;40;0.6075;0.021272;0.0350157;
1;2;2000;800;40;0.4575;0.0233987;0.0511447;
1;2;2000;1600;40;0.3505;0.0101735;0.0290257;
1;2;2000;3200;40;0.251;0.0118954;0.0473919;
1;2.25;2000;200;40;0.8905;0.0129808;0.0145769;
1;2.25;2000;400;40;0.7325;0.0189077;0.0258125;
1;2.25;2000;800;40;0.5525;0.0276134;0.049979;
1;2.25;2000;1600;40;0.414;0.0207726;0.0501753;
1;2.25;2000;3200;40;0.3095;0.0233131;0.075325;
1;0.5;2000;400;40;0.9505;0.00620484;0.00652797;
1;0.5;2000;200;40;0.9535;0.00969536;0.0101682;

fix Total time step for calcualtion of Xmax

1;0.75;2000;100;40;0.886;0.0121037;0.0136611;
1;0.75;2000;200;40;0.8685;0.0136565;0.0157242;
1;0.75;2000;400;40;0.846;0.0227266;0.0268636;
1;0.75;2000;800;40;0.8375;0.0115109;0.0137443;
1;0.75;2000;1600;40;0.8245;0.0198368;0.0240592;
1;0.75;2000;3200;40;0.796;0.0193391;0.0242953;
